SPEEDELEC  Booster; 35.0; 10900.0; false; 13200; green; 1279
SPEEDELEC  E-Scooter; 60.0; 15300.0; false; 14800; marine; 309
E-BIKE  Lankeleisi; 65.0; 24200.0; false; 10000; black; 2399
E-BIKE  Lankeleisi; 50.0; 21600.0; false; 30000; flame; 859
FOLDING BIKE  Benetti; 24.0; 27; 11400.0; false; rose; 1009
FOLDING BIKE  Benetti; 24.0; 6; 9400.0; true; silver; 1195
FOLDING BIKE  Formula; 16.0; 21; 12200.0; true; flame; 269
E-BIKE  ElectrO; 20.0; 19300.0; true; 14000; beige; 1025
SPEEDELEC  Dualtron; 30.0; 14400.0; true; 6500; dark gray; 1019
FOLDING BIKE  Intertool; 24.0; 21; 12900.0; true; coral; 1565
E-BIKE  Gazelle; 45.0; 25200.0; true; 11000; yellow; 855
SPEEDELEC  EcoRide; 15.0; 8300.0; true; 15600; blue; 1055
SPEEDELEC  Smart; 40.0; 9600.0; false; 13000; brown; 1065
E-BIKE  Felt; 60.0; 28300.0; false; 9000; grey; 2229
SPEEDELEC  Freego; 55.0; 9000.0; false; 15800; grenadine; 1505
E-BIKE  Mando Footloose; 20.0; 26800.0; false; 12000; beige; 1559
FOLDING BIKE  Brompton; 20.0; 7; 10800.0; true; orange; 1469
FOLDING BIKE  Comanche; 24.0; 6; 13500.0; true; olive; 609
E-BIKE  SkyBike; 40.0; 27200.0; false; 31000; olive; 1089
FOLDING BIKE  Titan; 20.0; 24; 10400.0; true; olive; 479
FOLDING BIKE  Titan; 20.0; 1; 11800.0; false; khaki; 1115
SPEEDELEC  EcoRide; 50.0; 8400.0; false; 8600; brown; 1609
FOLDING BIKE  BMW; 20.0; 7; 14400.0; false; lemon; 1085
E-BIKE  Ecofect; 30.0; 19200.0; true; 15000; lemon; 2919
E-BIKE  Gazelle; 25.0; 22200.0; true; 26000; silver; 1735
SPEEDELEC  Speedway; 25.0; 6800.0; false; 15200; blue; 915
E-BIKE  Ferrari; 55.0; 20900.0; false; 28000; olive; 3055
FOLDING BIKE  BMW; 16.0; 9; 11000.0; true; emerald; 1459
SPEEDELEC  Segway; 50.0; 11600.0; true; 7300; marine; 375
FOLDING BIKE  VNV; 20.0; 27; 10100.0; true; emerald; 1645
E-BIKE  ION; 25.0; 20800.0; true; 30000; coral; 2355
SPEEDELEC  OIO; 10.0; 10400.0; false; 8800; pink; 1099
FOLDING BIKE  Author; 20.0; 9; 11900.0; true; brown; 209
SPEEDELEC  Segway; 10.0; 11700.0; false; 12000; pink; 1365
SPEEDELEC  Peugeot; 60.0; 19800.0; true; 12200; yellow; 885
FOLDING BIKE  West Bike; 20.0; 21; 15300.0; false; lemon; 1039
FOLDING BIKE  Dahon; 14.0; 21; 12200.0; true; golden; 1169
E-BIKE  Porshe Design; 45.0; 28800.0; true; 13000; dark gray; 2789
FOLDING BIKE  Trinx; 20.0; 24; 10700.0; true; pink; 855
FOLDING BIKE  Cayman; 16.0; 27; 8500.0; false; orange; 735
E-BIKE  E-Motion; 50.0; 26500.0; false; 8000; yellow; 2145
E-BIKE  Gazelle; 55.0; 20800.0; true; 14000; violet; 1805
SPEEDELEC  Speedelec Minirider; 10.0; 7600.0; false; 6300; silver; 125
FOLDING BIKE  Polygon; 20.0; 8; 15600.0; false; orange; 1285
FOLDING BIKE  SkyBike; 24.0; 27; 16200.0; false; orange; 505
SPEEDELEC  Speedelec Minirider; 25.0; 15900.0; true; 14200; pink; 299
SPEEDELEC  Smart; 10.0; 15000.0; false; 7200; olive; 455
FOLDING BIKE  West Bike; 14.0; 9; 11500.0; false; golden; 1075
SPEEDELEC  ITrike; 25.0; 14500.0; false; 5600; marine; 259
SPEEDELEC  Maraton; 40.0; 15000.0; true; 7500; golden; 269
SPEEDELEC  Speedelec Minirider; 15.0; 10000.0; false; 13900; coral; 855
FOLDING BIKE  Intertool; 26.0; 21; 11700.0; true; violet; 689
SPEEDELEC  ITrike; 55.0; 15000.0; false; 14500; emerald; 945
FOLDING BIKE  Make Bike; 24.0; 1; 16300.0; false; grenadine; 1249
SPEEDELEC  Smart; 65.0; 17800.0; false; 13300; khaki; 985
SPEEDELEC  ITrike; 60.0; 18700.0; false; 7000; blue; 1109
FOLDING BIKE  Comanche; 16.0; 21; 16500.0; true; lemon; 1015
E-BIKE  Rover; 45.0; 27300.0; false; 12000; grenadine; 2799
FOLDING BIKE  Crosser; 24.0; 3; 16000.0; false; marine; 1129
FOLDING BIKE  Titan; 26.0; 1; 13800.0; false; blue; 1655
FOLDING BIKE  Polygon; 18.0; 7; 8200.0; true; rose; 1005
FOLDING BIKE  Cayman; 26.0; 1; 16300.0; false; khaki; 605
FOLDING BIKE  Trinx; 26.0; 3; 8400.0; true; flame; 455
E-BIKE  Xiaomi; 65.0; 26300.0; false; 29000; yellow; 3489
SPEEDELEC  Ultron; 25.0; 16000.0; true; 10400; violet; 909
SPEEDELEC  Peugeot; 20.0; 9900.0; true; 2500; orange; 809
SPEEDELEC  Speedway; 45.0; 7100.0; false; 9700; red; 615
SPEEDELEC  Maraton; 20.0; 19800.0; false; 15900; silver; 1215
FOLDING BIKE  Titan; 14.0; 9; 13100.0; false; orange; 1055
